id,query_date,text,verified,CLEANED_TWEET,SENTIMENT_VADER,SENTIMENT_FinancialBERT-Sentiment-Analysis,SENTIMENT_distilroberta-finetuned-financial-news-sentiment-analysis,SENTIMENT_deberta-v3-ft-financial-news-sentiment-analysis
1642649358087725057#m,2023-04-02,Tesla’s first-quarter vehicle sales rose 36% after the company cut prices twice in a bid to stimulate demand. clickondetroit.com/business/…,False,Teslas firstquarter vehicle sales rose  after the company cut prices twice in a bid to stimulate demand clickondetroitcombusiness,-0.1779,1,1,1
1642648724135608321#m,2023-04-02,"Elon is just making shit up as he goes along, as though the people who came before him hadn't already hashed all this out, so he has to keep changing his minds as things fall apart and catch fire like a Tesla.",True,Elon is just making shit up as he goes along as though the people who came before him hadnt already hashed all this out so he has to keep changing his minds as things fall apart and catch fire like a Tesla,-0.5423,0,0,0
1642646374679445504#m,2023-04-02,Posts have almost no engagement. The perfect candidate for an unverified de-ranking.,True,Posts have almost no engagement The perfect candidate for an unverified deranking,0.2972,0,0,0
1642645958268780545#m,2023-04-02,Tesla Q1 deliveries beat expectations as China helps boost sales tcrn.ch/3M6b11v by @rebeccabellan,False,Tesla Q deliveries beat expectations as China helps boost sales tcrnchMbv by rebeccabellan,0.6486,1,1,1
1642645918506975233#m,2023-04-02,"How does that account have 111,000 followers?",True,How does that account have  followers,0.0,0,0,0
1642645090433679365#m,2023-04-02,I want you and everyone reading this article to recognize that we are VERY far from having infrastructure for everyone to have an EV. Particularly in urban areas where a majority do not have a private garage. Just because a Tesla works for you doesn't mean it will for everyone.,False,I want you and everyone reading this article to recognize that we are VERY far from having infrastructure for everyone to have an EV Particularly in urban areas where a majority do not have a private garage Just because a Tesla works for you doesnt mean it will for everyone,0.0772,0,0,0
1642644710006181888#m,2023-04-02,Tesla is back in the safety spotlight again with a new probe of its Model X SUV. yhoo.it/40pm2iz,False,Tesla is back in the safety spotlight again with a new probe of its Model X SUV yhooitpmiz,0.4215,0,0,0
1642644286641680385#m,2023-04-02,"“Tesla’s history of labor violations supports the NLRB’s finding that employees would understand Musk’s tweet as a threat to commit another violation by rescinding stock options as retaliation,” judges ruled bloomberg.com/news/articles/… @MalathiNayak",False,Teslas history of labor violations supports the NLRBs finding that employees would understand Musks tweet as a threat to commit another violation by rescinding stock options as retaliation judges ruled bloombergcomnewsarticles MalathiNayak,-0.743,1,0,0
1642643126706634761#m,2023-04-02,Tesla posts record deliveries but misses estimates as competition weighs reut.rs/3nGRLgZ,False,Tesla posts record deliveries but misses estimates as competition weighs reutrsnGRLgZ,-0.3291,-1,-1,-1
1642643066430316545#m,2023-04-02,Tesla’s first-quarter vehicle sales rose 36% after the company cut prices twice in a bid to stimulate demand. ksat.com/business/2023/04/02…,False,Teslas firstquarter vehicle sales rose  after the company cut prices twice in a bid to stimulate demand ksatcombusiness,-0.1779,1,1,1
